SPAC IPO ,Date of IPO,CUSIP
Conyers Park III Acquisition Corp.,8/9/2021,21289P201
"Abri Spac I, Inc.",8/9/2021,00085X204
Riverview Acquisition Corp.,8/5/2021,769395203
Nova Vision Acquisition Corp.,8/5/2021,G6759A126
Roth CH Acquisition IV Co.,8/5/2021,77867P203
Gladstone Acquisition Corp.,8/4/2021,37653T207
AMCI Acquisition Corp. II,8/3/2021,00166R209
Blue Whale Acquisition Corp. I,8/3/2021,G1330M111
Healthwell Acquisition Corp. I,8/2/2021,42227R208
XPAC Acquisition Corp.,7/30/2021,G9831X114
Software Acquisition Group Inc. III,7/28/2021,83407J202
International Media Acquisition Corp.,7/28/2021,459867206
Metals Acquisition Corp.,7/28/2021,G60405118
Alpha Partners Technology Merger Corp.,7/27/2021,G63290129
Mercury Ecommerce Acquisition Corp.,7/27/2021,589381201
DA32 Life Science Tech Acquisition Corp.,7/27/2021,
Alpha Healthcare Acquisition Corp. III,7/26/2021,02073F203
Williams Rowland Acquisition Corp.,7/26/2021,96951B201
Belong Acquisition Corp.,7/22/2021,08069M201
Portage Fintech Acquisition Corp.,7/20/2021,G7185D122
TortoiseEcofin Acquisition Corp. III,7/19/2021,G8956E208
Clover Leaf Capital Corp.,7/19/2021,18915E204
Chavant Capital Acquisition Corp.,7/19/2021,G2058L129
Bilander Acquisition Corp.,7/15/2021,09001T205
StoneBridge Acquisition Corp.,7/15/2021,G85094111
Black Spade Acquisition Co.,7/15/2021,G11537126
TradeUP Acquisition Corp.,7/14/2021,89268A206
JATT Acquisition Corp.,7/14/2021,G50752115
CleanTech Acquisition Corp.,7/14/2021,18453L206
Good Works II Acquisition Corp.,7/12/2021,38216G203
ARYA Sciences Acquisition Corp. V,7/12/2021,
Acropolis Infrastructure Acquisition Corp.,7/8/2021,005029202
Galata Acquisition Corp.,7/8/2021,G3R23A124
AltC Acquisition Corp.,7/7/2021,
Agrico Acquisition Corp.,7/7/2021,G41089122
Corsair Partnering Corp.,6/30/2021,G2540H124
G3 VRM Acquisition Corp.,6/30/2021,362425209
Social Capital Suvretta Holdings Corp. IV,6/30/2021,
Social Capital Suvretta Holdings Corp. I,6/30/2021,
Social Capital Suvretta Holdings Corp. II,6/30/2021,
Social Capital Suvretta Holdings Corp. III,6/30/2021,
Frontier Investment Corp.,6/30/2021,G36816117
Macondray Capital Acquisition Corp. I,6/30/2021,G5853A123
Shelter Acquisition Corp. I,6/29/2021,822821203
"Thunder Bridge Capital Partners IV, Inc.",6/29/2021,88605L206
Mountain Crest Acquisition Corp. IV,6/29/2021,62403K207
Elliott Opportunity II Corp.,6/28/2021,G30092129
Gobi Acquisition Corp.,6/28/2021,
FinTech Acquisition Corp. VI,6/23/2021,31811H205
Northern Lights Acquisition Corp.,6/23/2021,66538L204
Coliseum Acquisition Corp.,6/22/2021,G2263T115
Golden Path Acquisition Corp.,6/22/2021,G4028H139
