,Unnamed: 0,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,cusip_trunc
887,9405,20000208,Landacorp Inc,LCOR,514756105,0,1,0,1,.,87615,1982,,,,5147
895,9418,20000211,Beasley Broadcast Group Inc,BBGI,074014101,0,0,1,0,24273441,87589,1961,,,,0740
906,9439,20000224,Digitalthink Inc,DTHK,25388M100,0,1,0,1,.,87599,1996,,,,2538
907,9440,20000224,Intersil Holding Corp,ISIL,46069S109,0,0,1,0,89301185,87612,1980,,,,4606
909,9446,20000301,MatrixOne Inc,MONE,57685P304,0,1,0,0,.,87793,1983,,,,5768
913,9451,20000302,Switchboard Inc,SWBD,871045100,0,0,0,1,.,87817,1996,,,,8710
917,9459,20000308,New China Homes Ltd,CHOM,G6445R103,0,0,0,0,.,87794,1997,,,,G644
921,9465,20000310,OTG Software Inc,OTGS,671059103,0,1,0,1,.,87799,1992,,,,6710
922,9467,20000313,Digitas Inc,DTAS,25388K104,0,0,0,1,.,87763,1980,,,,2538
928,9481,20000321,Aclara Biosciences Inc,ACLA,00461P106,0,1,0,0,.,87748,1995,,,,0046
943,9516,20000406,LivePerson Inc,LPSN,538146101,0,1,0,1,.,88174,1995,,,,5381
950,9529,20000411,HealthStream Inc,HSTM,42222N103,0,1,0,1,.,88167,1990,,,,4222
958,9538,20000419,Packard BioScience Co,PBSC,695172205,0,0,0,0,.,88186,1965,,,,6951
987,9599,20000628,Virage Inc,VRGE,92763Q106,0,1,0,1,.,88385,1994,,,,9276
997,9618,20000714,Omnivision Technologies Inc,OVTI,682128103,0,0,0,0,.,88458,1995,,,,6821
1002,9628,20000720,Talarian Corp,TALR,874090103,0,1,0,1,.,88470,1988,,,,8740
1003,9629,20000721,Variagenics Inc,VGNX,922196100,0,1,0,0,.,88476,1992,,,,9221
1008,9638,20000727,Discovery Partners Int'l Inc,DPII,254675101,0,1,0,0,.,88434,1995,,,,2546
1018,9650,20000731,Virage Logic Corp,VIRL,92763R104,0,1,0,0,.,88580,1995,,,,9276
1025,9659,20000802,Opnet Technologies Inc,OPNT,683757108,0,1,0,0,.,88550,1986,,,,6837
1028,9665,20000802,iAsia Works Inc,IAWK,45072L101,0,1,0,1,.,88530,1995,,,,4507
1036,9678,20000807,America Online Latin America,AOLA,02365B100,0,0,1,1,260420000,88500,1998,,,,0236
1043,9685,20000809,AtheroGenics Inc,AGIX,047439104,0,1,0,0,.,88498,1993,,,,0474
1047,9693,20000809,Tvia Inc,TVIA,87307P101,0,1,0,0,.,88577,1993,,,,8730
1063,9720,20000920,OmniSky Corp,OMNY,68213L103,0,1,0,1,.,88641,1999,,,,6821
1064,9723,20000921,TTM Technologies Inc,TTMI,87305R109,0,0,0,0,.,88648,1978,,,,8730
1081,9760,20001017,IXIA Communications,XXIA,45071R109,0,0,0,0,.,88750,1997,,,,4507
1086,9768,20001026,Crucell N.V.,CRXL,228769105,0,0,0,0,.,88725,-99,,,,2287
1092,9781,20001110,Computer Access Technology,CATZ,204853105,0,0,0,0,.,88793,1992,,,,2048
1095,9787,20001117,Array Biopharma Inc,ARRY,04269X105,0,1,0,0,.,88790,1998,,,,0426
1201,10072,20021125,AEW Real Estate Income Fund,RIF,00104H107,0,0,0,0,.,89580,-99,,,,0010
1213,10090,20021219,Federated Premier Intermediate,FPT,31423M105,0,0,0,0,.,89628,-99,,,,3142
1214,10091,20021219,Federated Premier Municipal,FMN,31423P108,0,0,0,0,.,89629,-99,,,,3142
1217,10097,20030214,Accredited Home Lenders,LEND,00437P107,0,1,0,0,.,89684,1990,,,,0043
1219,10100,20030227,Endurance Specialty Holdings,ENH,G30397106,0,0,0,0,.,89694,2001,,,,G303
1233,10123,20030701,Axis Capital Holdings Ltd,AXS,G0692U109,0,0,0,0,.,89789,2001,,,,G069
1242,10141,20030812,Gladstone Commercial Corp,GOOD,376536108,0,0,0,0,.,89823,-99,,,,3765
1256,10167,20031009,DigitalNet Holdings Inc,DNET,25389B103,0,0,0,0,.,89864,1973,,,,2538
1259,10171,20031023,First Potomac Realty Trust,FPO,33610F109,0,0,0,0,.,89878,-99,,,,3361
1275,10193,20031124,Gabelli Dividend & Inc Trust,GDV,36242H104,0,0,1,0,73007184,89893,2003,,,,3624
1278,10197,20031125,Open Solutions Inc,OPEN,68371P102,0,1,0,1,.,89917,1992,,,,6837
1282,10204,20031211,NPTest Holding Corp.,NPTT,67019A105,0,0,0,0,.,89937,1965,,,,6701
1288,10211,20031212,Natural Golf Corp.,NAX,63888E203,0,0,0,0,.,89963,1992,,,,6388
1297,10223,20031218,Tempur-Pedic International Inc,TPX,88023U101,0,0,0,0,.,89971,1989,,,,8802
1308,10238,20040202,TRW Automotive Holdings Corp,TRW,87264S106,0,0,0,0,.,90052,1904,,,,8726
1315,10247,20040206,AlphaSmart Inc,ALSM,02081F104,0,0,0,0,.,90021,1992,,,,0208
1316,10249,20040211,Atheros Communications Inc,ATHR,04743P108,0,1,0,0,.,90022,1998,,,,0474
1351,10301,20040427,RMR Hosp&Real Estate Fund,RHR,74963J108,0,0,.,0,.,90117,-99,,,,7496
1352,10302,20040427,TS&W/Claymore Tax-Adv Bal Fund,TYW,87280R108,0,0,.,0,.,90119,-99,,,,8728
1363,10317,20040525,Gabelli Glbl Utlty&Inc Trust,GLU,36242L105,0,0,.,0,.,90161,-99,,,,3624
1364,10320,20040526,Acadia Pharmaceuticals,ACAD,004225108,0,1,0,0,.,90177,1993,,,,0042
1366,10322,20040526,Critical Therapeutics Inc,CRTX,22674T105,0,1,0,0,.,90183,2000,,,,2267
1377,10339,20040621,Senomyx Inc,SNMX,81724Q107,0,1,0,0,.,90238,1998,,,,8172
1385,10350,20040624,Motive Inc,MOTV,61980V107,0,1,0,1,.,90234,1997,,,,6198
1394,10362,20040713,Homebanc Corp,HMB,43738R109,0,0,.,0,.,90255,-99,,,,4373
1407,10378,20040723,Auxilium Pharmaceuticals Inc,AUXL,05334D107,0,1,0,0,.,90275,1999,,,,0533
1409,10384,20040727,Prospect Street Energy Corp,PSEC,74348T102,0,0,.,0,.,90291,-99,,,,7434
1410,10386,20040728,Clough Global Allocation Fnd,GLV,18913Y103,0,0,.,0,.,90244,-99,,,,1891
1419,10397,20040806,Navteq Corp,NVT,63936L100,0,0,0,0,.,90309,1985,,,,6393
1432,10419,20040922,Educate Inc,EEEE,28138P100,0,0,0,0,.,90357,1979,,,,2813
