offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,SPAC IPO ,Date of IPO,IS_SPAC
20201023,Altimar Acquisition Corp,ATAC,G03707125,0,0,1,0,31250000,20269,2020,,,,Altimar Acquisition Corp.,10/22/2020,True
20201023,Eucrates Biomedical Acquisitio,EUCRU,G3141W114,0,0,1,0,12850000,20291,2020,,,,Eucrates Biomedical Acquisition Corp.,10/23/2020,True
20201027,Lux Health Tech Acq Corp,LUXAU,55068A209,0,1,1,0,37500000,20303,2020,,,,Lux Health Tech Acquisition Corp.,10/26/2020,True
20201028,Atlas Crest Investment Corp,ACICU,049284201,0,0,1,0,62500000,20207,2020,,,,Atlas Crest Investment Corp.,10/27/2020,True
20201028,Bluescape Opportunities Acq,BOAC.,G1195N121,0,0,1,0,71875000,20270,2020,,,,Bluescape Opportunities Acquisition Corp.,10/27/2020,True
20201028,Mallard Acquisition Corp,MACUU,561204207,0,0,1,0,13750000,20156,2020,,,,Mallard Acquisition Corp.,10/27/2020,True
20201029,Duddell St Acq Corp,DSACU,G28553124,0,0,1,0,21875000,20143,2020,,,,Duddell Street Acquisition Corp.,10/28/2020,True
20201030,CONX Corp.,CONXU,212873202,0,0,1,0,93760000,20286,2020,,,,CONX Corp.,10/29/2020,True
20201030,New Beginnings Acq Corp,NBA.U,64222H209,0,0,1,0,13000000,20097,2020,,,,New Beginnings Acquisition Corp.,10/29/2020,True
20201106,Roman DBDR Tech Acq Corp,DBDRU,77584N200,0,0,1,0,27500000,20138,2020,,,,Roman DBDR Tech Acquisition Corp.,11/6/2020,True
20201110,TS Innovation Acqs Corp,TSIAU,87284T209,0,0,1,0,37500000,20330,2020,,,,TS Innovation Acquisitions Corp.,11/9/2020,True
20201111,Natural Order Acquisition Corp,NOACU,63889L206,0,0,1,0,25000000,20443,2020,,,,Natural Order Acquisition Corp.,11/10/2020,True
20201111,Northern Star Acquisition Corp,STIC.,665742201,0,0,1,0,31250000,20238,2020,,,,Northern Star Acquisition Corp.,11/10/2020,True
20201113,Better World Acquisition Corp,BWACU,08772B203,0,0,1,0,14082420,20284,2020,,,,Better World Acquisition Corp.,11/12/2020,True
20201113,CF Finance Acq Corp III,CFACU,12529D207,0,0,1,0,25500000,20419,2016,,,,CF Finance Acquisition Corp. III,11/12/2020,True
20201113,Health Assurance Acquisition,HAACU,42226W208,0,0,1,0,52500000,20429,2020,,,,Health Assurance Acquisition Corp.,11/12/2020,True
20201117,OTR Acquisition Corp,OTRAU,67113Q204,0,0,1,0,12675000,20313,2020,,,,OTR Acquisition Corp.,11/17/2020,True
20201117,Pine Island Acq Corp,PIPP,722615200,0,0,1,0,25000000,20388,2020,,,,Pine Island Acquisition Corp.,11/16/2020,True
20201117,Zanite Acquisition Corp,ZNTEU,98907K202,0,0,1,0,25000000,20464,2020,,,,Zanite Acquisition Corp.,11/16/2020,True
20201118,Population Health Invest Co,PHICU,G71716123,0,0,1,0,18750000,20446,2020,,,,"Population Health Investment Co., Inc.",11/18/2020,True
20201119,Investindustrial Acq Corp,IIAC,G4771L121,0,0,1,0,43750000,20401,2020,,,,Investindustrial Acquisition Corp.,11/18/2020,True
20201119,L&F Acquisition Corp,LNFA,G53702125,0,0,1,0,18750000,20403,2020,,,,L&F Acquisition Corp.,11/18/2020,True
20201120,Aequi Acquisition Corp,ARBGU,00775W201,0,0,1,0,25000000,20414,2020,,,,Aequi Acquisition Corp.,11/19/2020,True
20201120,Cascade Acquisition Corp,CASU,147151203,0,0,1,0,25000000,20355,2020,,,,Cascade Acquisition Corp.,11/19/2020,True
20201120,Kingswood Acquisition Corp,KWAC.,496861204,0,0,1,0,12580000,20542,2020,,,,Kingswood Global Holdings Inc.,11/19/2020,True
20201120,Omnichannel Acquisition Corp,OCA U,68218L207,0,0,1,0,25000000,20384,2020,,,,Omnichannel Acquisition Corp.,11/20/2020,True
20201123,Breeze Hldg Acq Corp,BREZU,106762206,0,0,1,0,12765000,20282,2020,,,,Breeze Holdings Acquisition Corp.,11/23/2020,True
20201124,10X Capital Venture Acq Corp,VCVCU,88025V206,0,0,1,0,21875000,20460,2020,,,,10X Capital Venture Acquisition Corp.,11/24/2020,True
20201124,Tiga Acquisition Corp,TINV,G88672129,0,0,1,0,30000000,20406,2020,,,,Tiga Acquisition Corp.,11/23/2020,True
20201125,Forest Road Acquisition Corp,FRX.U,34619R201,0,0,1,0,32625000,20365,2020,,,,Forest Road Acquisition Corp.,11/24/2020,True
20201125,Spartan Acquisition Corp II,SPRQ,846775203,0,0,1,0,37500000,20390,2020,,,,Spartan Acquisition Corp. II,11/24/2020,True
20201130,Seaport Global Acquisition,SGAMU,812227205,0,0,1,0,15625000,20322,2020,,,,Seaport Global Acquisition Corp.,11/30/2020,True
20201202,Capitol Investment Corp V,CAP.U,14064F209,0,0,1,0,37500000,20354,2017,,,,Capitol Investment Corp. V,12/2/2020,True
20201202,Rodgers Silicon Valley Acq,RSVAU,774873202,0,0,1,0,25000000,.,2020,,,,Rodgers Silicon Valley Acquisition Corp.,12/2/2020,True
20201202,Trepont Acquisition Corp I,TACA.,G9095M119,0,0,1,0,25000000,20409,2020,,,,Trepont Acquistion Corp. I,12/1/2020,True
20201203,Far Peak Acquisition Corp,FPAC.,G3312L129,0,0,1,0,64750000,20398,2020,,,,Far Peak Acquisition Corp.,12/2/2020,True
20201203,Highland Transcend Partners I,HTPA.,G44690116,0,0,1,0,34375000,20400,2020,,,,Highland Transcend Partners I Corp.,12/2/2020,True
20201203,Live Oak Acquisition Corp II,LOKB.,53804W205,0,0,1,0,27500000,20381,2020,,,,Live Oak Acquisition Corp. II,12/2/2020,True
20201204,Fintech Acq Corp V,FTCVU,31810Q305,0,0,1,0,29920000,20426,2019,,,,FinTech Acquisition Corp. V,12/3/2020,True
20201204,PropTech Invest Corp II,PTICU,743497208,0,0,1,0,25000000,20448,2020,,,,PropTech Investment Corp. II,12/3/2020,True
20201208,Concord Acquisition Corp,CND.U,206071201,0,0,1,0,30680000,20356,2020,,,,Concord Acquisition Corp.,12/7/2020,True
20201208,DD3 Acquisition Corp II,DDMXU,23318M209,0,0,1,0,14090000,20424,2020,,,,DD3 Acquisition Corp.,10/16/2018,True
20201208,Mudrick Capital Acq Corp II,MUDSU,62477L206,0,0,1,0,34375000,20440,2020,,,,Mudrick Capital Acquisition Corp.,2/12/2018,True
20201208,Revolution Acceleration Acq,RAACU,76156P205,0,0,1,0,33333333,20621,2020,,,,Revolution Acceleration Acquisition Corp.,12/7/2020,True
20201209,Altitude Acquisition Corp,ALTUU,02156Y202,0,0,1,0,32625000,20413,2020,,,,Altitude Acquisition Corp.,12/8/2020,True
20201209,Frazier Lifesciences,FLACU,G3710A121,0,0,1,0,15465000,20594,2020,,,,Frazier Lifesciences Acquisition Corp.,12/9/2020,True
20201209,HumanCo Acquisition Corp,HMCOU,44487N208,0,1,1,0,33750000,20434,2020,,,,HumanCo Acquisition Corp.,12/8/2020,True
20201209,Nebula Caravel Acq Corp,NEBCU,629070202,0,0,1,0,31250000,20441,2020,,,,Nebula Caravel Acquisition Corp.,12/8/2020,True
20201210,Carney Tech Acq Corp II,CTAQU,143636207,0,0,1,0,44650000,20586,2020,,,,Carney Technology Acquisition Corp. II,12/9/2020,True
20201210,Periphas Capital Partnering Co,PCPCU,713895209,0,0,1,0,14624000,20549,2020,,,,Periphas Capital Partnering Corp.,12/9/2020,True
20201210,RMG Acquisition Corp II,RMGBU,G76083115,0,0,1,0,37500000,20450,2020,,,,RMG Acquisition Corp. II,12/10/2020,True
20201211,CBRE Acquisition Holdings Inc,CBAHU,12510J205,0,0,1,0,36750000,20522,2020,,,,"CBRE Acquisition Holdings, Inc.",12/11/2020,True
20201211,Delwinds Ins Acq Corp,DWIN.,24803C201,0,0,1,0,22455000,20358,2020,,,,Delwinds Insurance Acquisition Corp.,12/10/2020,True
20201211,EdtechX Hldg Acq Corp II,EDTXU,28139A201,0,0,1,0,12500000,20592,2020,,,,EdtechX Holdings Acquisition Corp.,10/10/2018,True
20201211,Globis Acquisition Corp,GLAQU,379582208,0,0,1,0,13095833,20602,2020,,,,Globis Acquisition Corp.,12/10/2020,True
20201211,Gores Holdings VI Inc,GHVIU,38286R204,0,0,1,0,37500000,20601,2020,,,,"Gores Holdings VI, Inc.",12/10/2020,True
20201211,Motive Capital Corp,MOTV.,G6293A129,0,0,1,0,45000000,20561,2020,,,,Motive Capital Corp.,12/10/2020,True
20201211,Roth Ch Acquisition II Co,ROCC,778673202,0,0,1,0,12760000,.,2019,,,,Roth CH Acquisition II Co.,12/10/2020,True
20201211,Senior Connect Acq Corp I,SNRHU,81723H207,0,0,1,0,45000000,20629,2020,,,,Senior Connect Acquisition Corp.,12/10/2020,True
20201211,Thayer Ventures Acquisition,TVACU,88332T209,0,1,1,0,18750000,20636,2020,,,,Thayer Ventures Acquisition Corp.,12/10/2020,True
20201215,Americas Tech Acq Corp,ATA.U,G0404A128,0,0,1,0,13000000,20396,2020,,,,Americas Technology Acquisition Corp.,12/15/2020,True
20201215,Blue Water Acquisition Corp,BLUWU,09607T203,0,0,1,0,6437500,20577,2020,,,,Blue Water Acquisition Corp.,12/15/2020,True
20201215,Kins Technology Group Inc,KINZU,49714K208,0,0,1,0,29750000,20607,-99,,,,"KINS Technology Group, Inc.",12/15/2020,True
20201215,Marquee Raine Acquisition Corp,MRACU,G58442115,0,0,1,0,40625000,20611,2020,,,,Jaws Spitfire Acquisition Corp.,12/2/2020,True
20201216,Churchill Capital Corp V,CCV.U,17144T206,0,0,1,0,63250000,20523,2020,,,,Churchill Capital Corp. V,12/15/2020,True
20201217,Corner Growth Acquisition Corp,COOLU,G2425N121,0,0,1,0,43625000,20585,2020,,,,Corner Growth Acquisition Corp.,12/16/2020,True
20201217,ScION Tech Growth I,SCOAU,G31067120,0,0,1,0,62500000,20624,2020,,,,ScION Tech Growth I,12/16/2020,True
20201218,Dune Acquisition Corp,DUNEU,265334201,0,0,1,0,18737500,20591,-99,,,,Dune Acquisition Corp.,12/17/2020,True
20201218,INSU Acquisition Corp III,IIIIU,457817302,0,0,1,0,29833333,20603,2020,,,,INSU Acquisition Corp. III,12/17/2020,True
20201218,MedTech Acquisition Corporatio,MTACU,58507N204,0,0,1,0,27500000,20612,2020,,,,MedTech Acquisition Corp.,12/17/2020,True
20201218,Seven Oaks Acquisition Corp.,SVOKU,81787X205,0,0,1,0,28125000,20631,2020,,,,Seven Oaks Acquisition Corp.,12/17/2020,True
20201221,Ackrell SPAC Partners I,ACKIU,00461L204,0,0,1,0,15865000,.,2020,,,,Ackrell SPAC Partners I Co.,12/21/2020,True
20201222,Healthcare Services,HCARU,42227K203,0,0,1,0,36000000,20433,2020,,,,Healthcare Services Acquisition Corp.,12/22/2020,True
20201223,7GC & Co Holdings Inc,VIIU,81786A206,0,0,1,0,25000000,20638,2020,,,,7GC & Co. Holdings Inc.,12/22/2020,True
20201223,CF Acquisition Corp. IV,CFIVU,12520T201,0,0,1,0,56250000,20582,2020,,,,CF Acquisition Corp. IV,12/22/2020,True
20201223,Viveon Health Acquisition Corp,VHAQ.,92853V205,0,0,1,0,21875000,20557,2020,,,,Viveon Health Acquisition Corp.,12/23/2020,True
20201224,Ventoux CCM Acquisition Corp.,VTAQU,92280L200,0,0,1,0,18750000,20645,2019,,,,Ventoux CCM Acquisition Corp.,12/23/2020,True
20210105,Crucible Acquisition Corp,CRU.U,22877P207,0,0,1,0,28125000,20525,2020,,,,Crucible Acquisition Corp.,1/5/2021,True
20210105,Fortress Value Acq Corp III,FVT.U,34964G206,0,0,1,0,25000000,20534,2020,,,,Fortress Value Acquisition Corp. III,1/4/2021,True
20210106,Poema Global Hldg Corp,PPGHU,G7154B123,0,0,1,0,37500000,20616,2020,,,,Poema Global Holdings Corp.,1/6/2021,True
20210106,Star Peak Corp II,STPCU,855179206,0,0,1,0,43750000,20552,2020,,,,Star Peak Corp. II,1/5/2021,True
20210107,Bright Lights Acq Corp,BLTSU,10920K200,0,0,1,0,25000000,20769,2020,,,,Bright Lights Acquisition Corp.,1/5/2021,True
20210107,Ivanhoe Capital Acq Corp,IVANU,G4R87P122,0,0,1,0,30000000,20751,2020,,,,Ivanhoe Capital Acquisition Corp.,1/6/2021,True
20210107,KludeIn I Acquisition Corp,INKAU,49878L208,0,0,1,0,18750000,20818,2020,,,,KludeIn I Acquisition Corp.,1/11/2021,True
20210107,Vectoiq Acq Corp Ii,VTIQU,92244F208,0,0,1,0,38400000,20886,2020,,,,VectoIQ Acquisition Corp. II,1/6/2021,True
20210107,Vickers Vantage Corp I,VCKAU,G9440B123,0,0,1,0,15000000,20884,2020,,,,Vickers Vantage Corp. I,1/6/2021,True
20210108,Empowerment & Inclusion,EPWRU,29248N209,0,0,1,0,30000000,20688,2020,,,,Empowerment & Inclusion Capital I Corp.,1/7/2021,True
20210108,Epiphany Tech Acq Corp,EPHYU,29429X208,0,0,1,0,44550000,20789,2020,,,,Epiphany Technology Acquisition Corp.,1/7/2021,True
20210108,Global Synergy Acq Corp,GSAQU,G3934J114,0,0,1,0,28125000,20806,2020,,,,Global Synergy Acquisition Corp.,1/7/2021,True
20210108,KL Acquisition Corp,KLAQU,49837C208,0,0,1,0,31250000,20826,2020,,,,KL Acquisition Corp,1/7/2021,True
20210108,Leo Holdings Corp. II,LHC.U,G5463R110,0,0,1,0,43750000,20753,2020,,,,Leo Holdings Corp. II,1/7/2021,True
20210108,Lightjump Acquisition Corp,LJAQU,53228M205,0,0,1,0,15120000,20839,2020,,,,LightJump Acquisition Corp.,1/8/2021,True
20210108,Locust Walk Acquisition Corp,LWACU,54015L301,0,0,1,0,19806250,20843,2020,,,,Locust Walk Acquisition Corp.,1/7/2021,True
20210108,Mountain Crest Acq Corp II,MCADU,62402D204,0,0,1,0,6605000,20844,2020,,,,Mountain Crest Acquisition Corp. II,1/7/2021,True
20210108,Pioneer Merger Corp,PACXU,G7S24C129,0,0,1,0,43750000,20857,2020,,,,Pioneer Merger Corp.,1/7/2021,True
20210108,Powered Brands,POWRU,G7209M124,0,0,1,0,30000000,20860,2020,,,,Powered Brands,1/7/2021,True
20210108,Prospector Capital Corp,PRSRU,G7273A121,0,0,1,0,37500000,20863,2020,,,,Prospector Capital Corp.,1/7/2021,True
20210108,Provident Acquisition Corp,PAQCU,G7282L118,0,0,1,0,25000000,20858,2020,,,,Provident Acquisition Corp.,1/7/2021,True
20210108,SVF Investment Corp,SVFAU,G8601L110,0,0,1,0,65625000,20454,2020,,,,SVF Investment Corp.,1/7/2021,True
20210108,Switchback II Corp,SWBKU,G8633T123,0,0,1,0,34375000,20759,2020,,,,Switchback II Corp.,1/7/2021,True
20210108,Tastemaker Acquisition Corp,TMKRU,876545203,0,0,1,0,30000000,20880,2020,,,,Tastemaker Acquisition Corp.,1/8/2021,True
20210112,890 5th Avenue Partners Inc,ENFAU,28250A204,0,0,1,0,31952500,20787,2020,,,,"890 5th Avenue Partners, Inc.",1/11/2021,True
20210112,Adit EdTech Acquisition Corp,ADEX.,007024201,0,0,1,0,30000000,20666,2020,,,,Adit EdTech Acquisition Corp.,1/11/2021,True
20210112,Athlon Acquisition Corp,SWETU,04748A205,0,0,1,0,30000000,20877,2020,,,,Athlon Acquisition Corp.,1/11/2021,True
20210112,Big Cypress Acquisition Corp,BCYPU,089115208,0,0,1,0,12882250,.,2020,,,,Big Cypress Acquisition Corp.,1/11/2021,True
20210112,Global Partner Acq Corp II,GPACU,G3934P110,0,0,1,0,34375000,20805,2020,,,,Global Partner Acquisition Corp. II,1/11/2021,True
20210113,Deep Lake Capital Acq Corp,DLCAU,G27029126,0,0,1,0,22500000,20783,2020,,,,Deep Lake Capital Acquisition Corp.,1/12/2021,True
20210113,Fortress Capital Acq Corp,FCAXU,G36427113,0,0,1,0,43750000,20746,2020,,,,Fortress Capital Acquisition Corp.,1/13/2021,True
20210113,Hamilton Lane Alliance Hldg I,HLAHU,40749M202,0,0,1,0,26666666,20812,2020,,,,"Hamilton Lane Alliance Holdings I, Inc.",1/12/2021,True
20210113,Marlin Technology Corp,FINMU,G58411128,0,0,1,0,45000000,20792,2020,,,,Marlin Technology Corp.,1/12/2021,True
20210113,Northern Genesis Acq Corp II,NGAB.,66516U200,0,0,1,0,45000000,.,2020,,,,Northern Genesis Acquisition Corp. II,1/12/2021,True
20210113,Pontem Corp,PNTM.,G71707114,0,0,1,0,75000000,20755,2020,,,,Pontem Corp.,1/13/2021,True
20210114,Environmental Impact Acq Corp,ENVIU,29408N205,0,0,1,0,22500000,20788,2020,,,,Environmental Impact Acquisition Corp.,1/13/2021,True
20210114,Monument Circle Acq Corp,MONCU,61531M200,0,0,1,0,27250000,20847,2020,,,,Monument Circle Acquisition Corp.,1/14/2021,True
20210114,Silver Crest Acquisition,SLCRU,G81355110,0,0,1,0,37500000,20873,2020,,,,Silver Crest Acquisition Corp.,1/13/2021,True
20210115,26 Capital Acquisition Corp,ADERU,90138P209,0,0,1,0,30000000,20762,2020,,,,26 Capital Acquisition Corp.,1/14/2021,True
20210115,Authentic Equity Acq Corp,AEACU,G06607116,0,0,1,0,26250000,20763,2020,,,,Authentic Equity Acquisition Corp.,1/14/2021,True
20210115,Class Acceleration Corp,CLAS.,18274B205,0,0,1,0,28968750,20675,2020,,,,Class Acceleration Corp.,1/14/2021,True
20210115,Edify Acquisition Corp,EACPU,28059Q202,0,0,1,0,30000000,20785,2020,,,,Edify Acquisition Corp.,1/14/2021,True
20210115,Group Nine Acquisition Corp,GNACU,39947R203,0,0,1,0,25000000,20804,2020,,,,Group Nine Acquisition Corp.,1/15/2021,True
20210115,Healthcare Capital Corp,HCCCU,42228C200,0,0,1,0,29750000,20807,2020,,,,Healthcare Capital Corp.,1/14/2021,True
20210115,Hennessy Capital Investment V,HCICU,42589T206,0,0,1,0,37500000,20808,2020,,,,Hennessy Capital Investment Corp. V,1/14/2021,True
20210115,OCA Acquisition Corp,OCAXU,670865203,0,0,1,0,16250000,20851,2020,,,,OCA Acquisition Corp.,1/14/2021,True
20210115,Rotor Acquisition Corp,ROTU,77879W204,0,0,1,0,30000000,.,2020,,,,Rotor Acquisition Corp.,1/14/2021,True
20210120,FoxWayne Enterprises Acq Corp,FOXWU,35166L208,0,0,1,0,7187500,20595,2020,,,,FoxWayne Enterprises Acquisition Corp.,1/19/2021,True
20210120,Gores Metropoulos II Inc,GMIIU,382873206,0,0,1,0,50000000,20801,2020,,,,"Gores Metropoulos II, Inc.",1/19/2021,True
20210120,Legato Merger Corp,LEGOU,52473X205,0,0,1,0,26401786,20836,2020,,,,Legato Merger Corp.,1/19/2021,True
20210120,Queens Gambit Growth Capital,GMBTU,G7315C127,0,0,1,0,37500000,20800,2020,,,,Queen's Gambit Growth Capital,1/19/2021,True
20210120,TZP Strategies Acq Corp,TZPSU,69242M203,0,0,1,0,31250000,20856,2020,,,,Oyster Enterprises Acquisition Corp.,1/19/2021,True
20210122,European Sustainable Growth,EUSGU,G3194F125,0,0,1,0,15685000,20790,2020,,,,European Sustainable Growth Acquisition Corp.,1/21/2021,True
20210122,Jack Creek Investment Corp,JCICU,G4989X107,0,0,1,0,37500000,20822,2020,,,,Jack Creek Investments Corp.,1/21/2021,True
20210122,Liberty Media Acq Corp,LMACU,53073L203,0,0,1,0,62500000,20840,2020,,,,Liberty Media Acquisition Corp.,1/21/2021,True
20210122,N Atlantic Acq Corp,NAACU,G66139117,0,0,1,0,41250000,20849,2020,,,,North Atlantic Acquisition Corp.,1/22/2021,True
20210122,One Eq Partners Open Water I,OEPWU,68237L204,0,0,1,0,37500000,20852,2020,,,,One Equity Partners Open Water I Corp.,1/21/2021,True
20210122,Primavera Capital Acq Corp,PV.U,G7255E125,0,0,1,0,47000000,20756,2020,,,,Primavera Capital Acquisition Corp.,1/21/2021,True
20210122,SCP & CO Healthcare Acq Co,SHACU,784065203,0,0,1,0,25000000,20872,2020,,,,SCP & CO Healthcare Acquisition Co.,1/20/2021,True
20210122,Virtuoso Acq Corp,VOSOU,92837J203,0,0,1,0,25000000,20885,2020,,,,Virtuoso Acquisition Corp.,1/21/2021,True
20210126,Biotech Acq Co,BIOTU,G1125A124,0,0,1,0,25000000,20768,2020,,,,Biotech Acquisition Co.,1/25/2021,True
20210126,D & Z Media Acquisition Corp,DNZ.U,23305Q205,0,0,1,0,31250000,20683,2020,,,,D & Z Media Acquisition Corp.,1/26/2021,True
20210126,DiamondHead Holdings Corp,DHHCU,25278L204,0,0,1,0,37500000,20780,2020,,,,DiamondHead Holdings Corp.,1/24/2021,True
20210126,Hudson Exec Invest Corp II,HCIIU,443760202,0,0,1,0,28125000,20809,2020,,,,Hudson Executive Investment Corp. II,1/26/2021,True
20210126,LMF Acquisition Opportunities,LMAO.,502015209,0,0,1,0,11340000,20841,2020,,,,LMF Acquisition Opportunities Inc.,1/25/2021,True
20210126,Nrthn Star Invest Corp II,NSTB.,66573W206,0,0,1,0,43750000,20548,2020,,,,Northern Star Investment Corp. II,1/25/2021,True
20210126,Science Strategic Acq Corp,SSAA.,808641203,0,0,1,0,33750000,20874,2020,,,,Science Strategic Acquisition Corp. Alpha,1/25/2021,True
20210127,Ca Healthcare Acquisition Corp,CAHCU,12510W206,0,0,1,0,12500000,20770,2020,,,,CA Healthcare Acquisition Corp.,1/26/2021,True
20210127,Climate Real Impact Solut II,CLIM.,187171202,0,0,1,0,26205000,20676,2020,,,,Climate Real Impact Solutions II Acquisition Corp.,1/26/2021,True
20210127,Constellation Acq Corp I,CSTA.,G2R18K121,0,0,1,0,37500000,20743,2020,,,,Constellation Acquisition Corp. I,1/26/2021,True
20210127,Fortistar Sustainable,FSSIU,34962M205,0,0,1,0,28125000,20795,2020,,,,Fortistar Sustainable Solutions Corp.,1/26/2021,True
20210128,Ignyte Acquisition Corp,IGNYU,45175H205,0,0,1,0,6350000,20815,2020,,,,Ignyte Acquisition Corp.,1/27/2021,True
20210128,Ithax Acquisition Corp,ITHXU,G49775110,0,0,1,0,26925000,20820,2020,,,,ITHAX Acquisition Corp.,1/27/2021,True
20210128,TLG Acquisition One Corp,TLGA.,87257M207,0,0,1,0,43750000,20731,2020,,,,TLG Acquisition One Corp.,1/27/2021,True
20210129,BlueRiver Acquisition Corp,BLUA.,G1261Q123,0,0,1,0,31975000,20740,2020,,,,BlueRiver Acquisition Corp.,1/28/2021,True
20210129,Brookline Capital Acq Corp,BCACU,11374E203,0,0,1,0,6478250,20574,2020,,,,Bison Capital Acquisition Corp.,6/23/2017,True
20210129,CF Acquisition Corp V,CFFVU,12520R205,0,0,1,0,31850000,20772,2020,,,,CF Acquisition Corp. V,1/28/2021,True
20210129,Clarim Acquisition Corp,CLRMU,18049C207,0,0,1,0,31250000,20775,2020,,,,Clarim Acquisition Corp.,1/28/2021,True
20210129,EQ Health Acquisition Corp,EQHA.,26886A200,0,0,1,0,23913000,20686,2020,,,,EQ Health Acquisition Corp.,1/29/2021,True
20210129,Growth Capital Acq Corp,GCACU,39986V206,0,0,1,0,18750000,20798,2010,,,,Growth Capital Acquisition Corp.,1/29/2021,True
20210129,Mason Industrial Tech Inc,MIT.U,57520Y205,0,0,1,0,56250000,20713,2020,,,,"Mason Industrial Technology, Inc.",1/28/2021,True
20210129,Z-Work Acquisition Corp,ZWRKU,98880C201,0,0,1,0,25000000,20890,2020,,,,Z-Work Acquisition Corp.,1/28/2021,True
20210202,Ares Acquisition Corp,AAC.U,G33032114,0,0,1,0,108750000,20744,2020,,,,Ares Acquisition Corp.,2/1/2021,True
20210202,Jaws Mustang Acquisition Corp,JWSM.,G50737116,0,0,1,0,112500000,20752,2020,,,,Jaws Mustang Acquisition Corp.,2/2/2021,True
20210202,MDH Acquisition Corp,MDH.U,55283P205,0,0,1,0,30900000,20712,2020,,,,MDH Acquisition Corp.,2/1/2021,True
20210202,Noble Rock Acquisition Corp,NRACU,G6546R127,0,0,1,0,26250000,20850,2020,,,,Noble Rock Acquisition Corp.,2/1/2021,True
20210202,Thimble Point Acquisition Corp,THMAU,88408P206,0,0,1,0,30000000,.,2020,,,,Thimble Point Acquisition Corp.,2/1/2021,True
20210203,CC Neuberger Principal III,PRPC.,G1992N118,0,0,1,0,48750000,20741,2020,,,,CC Neuberger Principal Holdings III,2/2/2021,True
20210203,Gaming & Hospity Acq Corp,GHACU,364681205,0,0,1,0,22602500,20799,2020,,,,Gaming & Hospitality Acquisition Corp.,2/2/2021,True
20210203,Kernel Grp Hldg Inc,KRNLU,G5259L111,0,0,1,0,33125000,20827,2020,,,,"Kernel Group Holdings, Inc.",2/2/2021,True
20210203,Music Acquisition Corp,TMAC.,62752R209,0,0,1,0,25000000,20716,2020,,,,The Music Acquisition Corp.,2/2/2021,True
20210204,Astrea Acquisition Corp,ASAXU,04637C205,0,0,1,0,19180000,20767,2020,,,,Astrea Acquisition Corp.,2/3/2021,True
20210204,Atlas Crest Investment Corp II,ACII.,049287204,0,0,1,0,37500000,20671,2020,,,,Atlas Crest Investment Corp. II,2/3/2021,True
20210204,Centricus Acquisition Corp,CENHU,G2072Q112,0,0,1,0,37500000,20771,2020,,,,Centricus Acquisition Corp.,2/3/2021,True
20210204,Decarbonization Plus,DCRNU,242794204,0,0,1,0,42750000,20778,2020,,,,Decarbonization Plus Acquisition Corp. II,2/3/2021,True
20210204,Itiquira Acquisition Corp,ITQRU,G49773123,0,0,1,0,25000000,20821,2020,,,,Itiquira Acquisition Corp.,2/3/2021,True
20210204,Novus Capital Corp II,NXU.U,67012W203,0,0,1,0,31250000,20721,2020,,,,Novus Capital Corp. II,2/3/2021,True
20210205,Altimar Acquisition Corp II,ATMRU,G03709113,0,0,1,0,37500000,.,2020,,,,Altimar Acquisition Corp. II,2/4/2021,True
20210205,Ark Global Acquisition Corp,ARKIU,66981N202,0,0,1,0,37500000,20828,2020,,,,Alkuri Global Acquisition Corp.,2/5/2021,True
20210205,COVA Acquisition Corp,COVAU,G2554Y112,0,0,1,0,32625000,20777,2020,,,,COVA Acquisition Corp.,2/4/2021,True
20210205,Compute Health Acq Corp,CPUH.,204833206,0,0,1,0,93750000,20679,2020,,,,Compute Health Acquisition Corp.,2/4/2021,True
20210205,G Squared Ascend I Inc,GSQD.,G4204R125,0,0,1,0,37500000,20748,2020,,,,G Squared Ascend I Inc.,2/4/2021,True
20210205,HH&L Acquisition Co,HHLA.,G39714111,0,0,1,0,45000000,20747,2020,,,,HH&L Acquisition Co.,2/4/2021,True
20210205,JOFF Fintech Acquisition Corp,JOFFU,46592C209,0,0,1,0,45000000,20824,2020,,,,JOFF Fintech Acquisition Corp.,2/4/2021,True
20210205,Quantum FinTech Acquisition,QFTA.,74767A204,0,0,1,0,21875000,20724,2020,,,,Quantum FinTech Acquisition Corp.,2/4/2021,True
20210205,RMG Acquisition Corp III,RMGCU,G76088114,0,0,1,0,52500000,20868,2020,,,,RMG Acquisition Corp. III,2/4/2021,True
20210205,Sustainable Dvlp Acq I Corp,SDACU,86934L202,0,0,1,0,34375000,20871,2020,,,,Sustainable Development Acquisition I Corp.,2/4/2021,True
20210209,Adara Acquisition Corp,ADRA.,00653H201,0,0,1,0,12500000,20665,2020,,,,Adara Acquisition Corp.,2/8/2021,True
20210209,Crown PropTech Acquisitions,CPTK.,G25741128,0,0,1,0,30000000,20742,2020,,,,Crown PropTech Acquisitions,2/8/2021,True
20210209,ECP Envi Growth Opportunities,ENNVU,26829T209,0,0,1,0,37500000,21042,2020,,,,ECP Environmental Growth Opportunities Corp.,2/8/2021,True
20210209,Evo Acq Corp,EVOJU,30052G207,0,0,1,0,13745000,21043,2020,,,,Evo Acquisition Corp.,2/8/2021,True
