,Unnamed: 0,conm,tic,CUSIP,Date of IPO,IS_SPAC,matched_name
2232,1402,BORO RECYCLING,BORO,10000810,,False,"('GUANWEI RECYCLING CORP', 86)"
2233,1403,INFINITE GRAPHICS,INFG,45663410,,False,"('SILICON GRAPHICS INTL CORP', 86)"
2234,1404,ESSELTE BUSINESS,ESB,29668310,,False,"('BROOKFIELD BUSINESS PRTNR LP', 86)"
2235,1405,CITISOURCE INC.,CTSC,17291510,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2236,1406,SARATOGA ST'DBRED,STGA,80357010,,False,"('NEUBERGER BERMAN H YLD ST FD', 86)"
2237,1407,CADBURY SCHWEPPES,CSG,12720930,,False,"('BRF SA', 60)"
2238,1408,DIRECT ACTION MKTG.,DMK,25455910,,False,"('MSC INDUSTRIAL DIRECT  -CL A', 86)"
2239,1409,CENTRAL JERSEY SAV.,CJSL,15378510,,False,"('CENTRAL JERSEY BANCORP', 84)"
2240,1410,CRAZY EDDIE INC.,CRZY,22522710,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2241,1411,P. LEINER NURITION,PLIN,52536910,,False,"('TRIPLE P NV', 86)"
2242,1412,PROFIT TECHNOLOGY,PRTE,74316910,,False,"('MONTAGE TECHNOLOGY GROUP LTD', 86)"
2243,1413,UCI MEDICAL AFFIL.,UCIA,90263330,,False,"('HELIUS MEDICAL TECHNOLOGIES', 86)"
2244,1414,EXPEDITORS INT'L,,30213020,,False,"('FIRST TRUST INT DUR PFD INCM', 86)"
2245,1415,D'LITES OF AMERICA,DLIT,23322410,,False,"('SUMMIT AMERICA TELEVISON INC', 86)"
2246,1416,MERCURY ENTERTNMT.,,58938620,,False,"('SINO MERCURY ACQUISITION CP', 86)"
2247,1417,NATIONWIDE LEGAL,,63865420,,False,"('NATIONWIDE FINL SVCS  -CL A', 86)"
2248,1418,DALTEX MEDICAL,DLTX,23550210,,False,"('HELIUS MEDICAL TECHNOLOGIES', 86)"
2249,1419,LEWIS GALOOB TOYS,GATO,36409110,,False,"('SYS', 60)"
2250,1420,ADIA SERVICES,ADIA,687410,,False,"('ADVANCED DISPOSAL SERVICES', 86)"
2251,1421,INMED CORP.,NMED,45763610,,False,"('PROVIDIAN FINANCIAL CORP', 86)"
2252,1422,SCIENTIFIC COMMUN.,SCFC,808677108,,False,"('GREAT BASIN SCIENTIFIC INC', 86)"
2253,1423,WYSE TECHNOLOGY,WYSE,98360410,,False,"('MONTAGE TECHNOLOGY GROUP LTD', 86)"
2254,1424,GOLDEN CORRAL REALTY,GRCA,38086810,,False,"('DOLAN CO', 68)"
2255,1425,HARRIS GRAPHICS,HG,41454510,,False,"('SILICON GRAPHICS INTL CORP', 86)"
2256,1426,"INFOVIEW, INC.",,45681620,,False,"('MARATHON DIGITAL HOLDNGS INC', 86)"
2257,1427,IPC COMMUNICATIONS,IPCXA,44980M10,,False,"('STRAIGHT PATH COMMUNICATIONS', 86)"
2258,1428,CABLE ADVERTISING,CABS,12683310,,False,"('ASIA PACIFIC WIRE&CABLE CORP', 86)"
2259,1429,WILFRED AMERICAN EDUCATIONAL,WAE,96823310,,False,"('AMERICAN SKIING CO', 86)"
