SPAC IPO ,Date of IPO,CUSIP,MergeKey,ClosestMatch
Mercato Partners Acquisition Corp.,11/4/2021,58759A207,Mercato Partners Acquisition C,"('Mercato Partners Acquisition C', 95, 14972)"
Intelligent Medicine Acquisition Corp.,11/4/2021,45828D205,Intelligent Medicine Acquisiti,"('Intelligent Medicine Acquisiti', 90, 14981)"
Rigel Resource Acquisition Corp.,11/4/2021,G7573M122,Rigel Resource Acquisition Cor,"('Rigel Resource Acquisition Cor', 98, 14986)"
7 Acquisition Corp.,11/4/2021,G80694121,7 Acquisition Corp,"('7 Acquisition Corp', 100, 14978)"
Sizzle Acquisition Corp.,11/3/2021,8.30E+212,Sizzle Acquisition Corp,"('Sizzle Acquisition Corp', 100, 14975)"
Lionheart III Corp.,11/3/2021,536262207,Lionheart III Corp,"('Lionheart III Corp', 100, 14971)"
Spindletop Health Acquisition Corp.,11/3/2021,84854Q202,Spindletop Health Acquisition,"('Spindletop Health Acquisition', 95, 14976)"
Concord Acquisition Corp. III,11/3/2021,20607V205,Concord Acquisition Corp III,"('Concord Acquisition Corp III', 98, 14966)"
Juniper II Corp.,11/3/2021,48203N202,Juniper II Corp,"('Juniper II Corp', 100, 14969)"
Liberty Resources Acquisition Corp.,11/3/2021,53118A204,Liberty Resources Acquisition,"('Liberty Resources Acquisition', 95, 14970)"
Semper Paratus Acquisition Corp.,11/3/2021,G8028L123,Semper Paratus Acquisition Cor,"('Semper Paratus Acquisition Cor', 98, 14974)"
Digital Health Acquisition Corp.,11/3/2021,253893200,Digital Health Acquisition Cor,"('Digital Health Acquisition Cor', 98, 14967)"
Finnovate Acquisition Corp.,11/3/2021,G3R34K129,Finnovate Acquisition Corp.,"('Finnovate Acquisition Corp.', 100, 14968)"
Talon 1 Acquisition Corp.,11/3/2021,G86656124,Talon 1 Acquisition Corp,"('Talon 1 Acquisition Corp', 100, 14977)"
Trine II Acquisition Corp.,11/2/2021,G9059F126,Trine II Acquisition Corp,"('Trine II Acquisition Corp', 100, 14963)"
Fortune Rise Acquisition Corp.,11/2/2021,34969G201,Fortune Rise Acquisition Corp,"('Fortune Rise Acquisition Corp', 100, 14958)"
Integral Acquisition Corp. 1,11/2/2021,45827K200,Integral Acquisition Corp 1,"('Integral Acquisition Corp 1', 98, 14959)"
TG Venture Acquisition Corp.,11/2/2021,87251T208,TG Venture Acquisition Corp,"('TG Venture Acquisition Corp', 100, 14962)"
McLaren Technology Acquisition Corp.,11/2/2021,58176U208,McLaren Technology Acquisition,"('McLaren Technology Acquisition', 95, 14960)"
Onyx Acquisition Co. I,11/2/2021,G6755Q125,Onyx Acquisition Co I,"('Onyx Acquisition Co I', 98, 14961)"
Vision Sensing Acquisition Corp.,10/29/2021,92838J202,Vision Sensing Acquisition Cor,"('Vision Sensing Acquisition Cor', 98, 14955)"
SDCL Edge Acquisition Corp.,10/28/2021,G79471119,SDCL EDGE Acquisition Corp,"('SDCL EDGE Acquisition Corp', 100, 14951)"
Project Energy Reimagined Acquisition Corp.,10/28/2021,G72556122,,
Cactus Acquisition Corp. 1 Ltd.,10/28/2021,G1745A116,Cactus Acquisition Corp 1 Ltd,"('Cactus Acquisition Corp 1 Ltd', 98, 14947)"
AltEnergy Acquisition Corp.,10/28/2021,02157M207,AltEnergy Acquisition Corp,"('AltEnergy Acquisition Corp', 100, 14943)"
Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,03881F203,Arbor Rapha Capital Bioholding,"('Arbor Rapha Capital Bioholding', 87, 14944)"
Perception Capital Corp. II,10/27/2021,G7007D128,Perception Capital Corp II,"('Perception Capital Corp II', 98, 14939)"
Focus Impact Acquisition Corp.,10/27/2021,34417L208,Focus Impact Acquisition Corp,"('Focus Impact Acquisition Corp', 100, 14937)"
Seaport Calibre Materials Acquisition Corp.,10/27/2021,812204204,,
Anthemis Digital Acquisitions I Corp.,10/27/2021,G03959122,Anthemis Digital Acquisitions,"('Anthemis Digital Acquisitions', 95, 14934)"
Deep Medicine Acquisition Corp.,10/26/2021,243733201,Deep Medicine Acquisition Corp,"('Deep Medicine Acquisition Corp', 100, 14924)"
LAVA Medtech Acquisition Corp.,10/26/2021,519345201,LAVA Medtech Acquisition Corp,"('LAVA Medtech Acquisition Corp', 100, 14927)"
Pyrophyte Acquisition Corp.,10/26/2021,G7308P119,Pyrophyte Acquisition Corp,"('Pyrophyte Acquisition Corp', 100, 14931)"
Innovative International Acquisition Corp.,10/26/2021,G4809M117,,
OPY Acquisition Corp. I,10/26/2021,671005205,OPY Acquisition Corp I,"('OPY Acquisition Corp I', 98, 14930)"
TKB Critical Technologies 1,10/26/2021,G88935104,TKB Critical Technologies 1,"('TKB Critical Technologies 1', 100, 14933)"
M3-Brigade Acquisition III Corp.,10/21/2021,55407R202,M3-Brigade Acquisition II Corp,"('M3-Brigade Acquisition II Corp', 98, 14353)"
Pegasus Digital Mobility Acquisition Corp.,10/21/2021,G69768128,,
Iconic Sports Acquisition Corp.,10/21/2021,G4712C123,Iconic Sports Acquisition Corp,"('Iconic Sports Acquisition Corp', 100, 14918)"
Newhold Investment Corp. II,10/20/2021,651450207,Newhold Investment Corp II,"('Newhold Investment Corp II', 98, 14911)"
GoGreen Investments Corp.,10/20/2021,G9461B127,GoGreen Investments Corp,"('GoGreen Investments Corp', 100, 14910)"
Global Technology Acquisition Corp. I,10/20/2021,G3934N123,Global Technology Acquisition,"('Global Technology Acquisition', 95, 14909)"
Accretion Acquisition Corp.,10/20/2021,00438Y206,Accretion Acquisition Corp,"('Accretion Acquisition Corp', 100, 14906)"
Thrive Acquisition Corp.,10/20/2021,G7158C127,Thrive Acquisition Corp,"('Thrive Acquisition Corp', 100, 14915)"
ExcelFin Acquisition Corp.,10/20/2021,30069X201,ExcelFin Acquisition Corp,"('ExcelFin Acquisition Corp', 100, 14908)"
Newcourt Acquisition Corp.,10/19/2021,G6448C111,Newcourt Acquisition Corp,"('Newcourt Acquisition Corp', 100, 14903)"
"Industrial Human Capital, Inc.",10/19/2021,45617P203,Industrial Human Capital Inc,"('Industrial Human Capital Inc', 98, 14902)"
Athena Consumer Acquisition Corp.,10/19/2021,04684M205,Athena Consumer Acquisition Co,"('Athena Consumer Acquisition Co', 97, 14898)"
