,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,formatted offer date
14270,2021-02-12,Churchill Capital Corp VI,CCVI.,17143W200,0,0,1,0,60000000,20914,2020,,,,02/12/2021
14271,2021-02-12,Churchill Capital Corp VII,CVII.,17144M201,0,0,1,0,150000000,20915,2020,,,,02/12/2021
14272,2021-02-12,Decibel Therapeutics Inc,DBTX,24343R106,0,1,0,0,.,20588,2013,,,,02/12/2021
14273,2021-02-12,Longeveron Inc,LGVN,54303L104,0,0,1,0,18706911,20609,2014,,,,02/12/2021
14274,2021-02-12,NexImmune Inc,NEXI,65344D109,0,1,0,0,.,20613,2011,,,,02/12/2021
14275,2021-02-12,Rosecliff Acquisition Corp I,RCLFU,77732R202,0,0,1,0,27500000,20867,2020,,,,02/12/2021
14276,2021-02-12,Social Leverage Acquisition,SLAC.,83363K201,0,0,1,0,37500000,20965,2020,,,,02/12/2021
14277,2021-02-12,Talis Biomedical Corp,TLIS,87424L108,0,1,1,0,53343550,20633,2010,,,,02/12/2021
14278,2021-02-12,Tishman Speyer Innovation II,TSIBU,88825H209,0,0,1,0,37500000,21107,2020,,,,02/12/2021
14279,2021-02-12,Tuatara Capital Acquisition,TCACU,G9118J127,0,0,1,0,21875000,21103,2020,,,,02/12/2021
14280,2021-02-16,Medicus Sciences Acq Corp,MSACU,G5960S116,0,0,1,0,10100000,21078,2020,,,,02/16/2021
14281,2021-02-17,ABG Acquisition Corp I,ABGI,G00496102,0,0,1,0,16837000,20563,2020,,,,02/17/2021
14282,2021-02-17,Auddia Inc (Clip Interactive),AUUD,05072K107,0,0,1,0,11291829,20572,2012,,,,02/17/2021
14283,2021-02-17,FS Development Corp II,FSII,30318F100,0,0,1,0,22425000,.,2020,,,,02/17/2021
14284,2021-02-17,Moringa Acq Corp,MACAU,G6S23K116,0,0,1,0,12975000,21075,2020,,,,02/17/2021
14285,2021-02-17,New Vista Acq Corp,NVSAU,G6529L113,0,0,1,0,30000000,21082,2020,,,,02/17/2021
14286,2021-02-17,Pathfinder Acquisition Corp,PFDRU,G04119114,0,0,1,0,37500000,21085,2020,,,,02/17/2021
14287,2021-02-17,SportsTek Acquisition Corp,SPTKU,849196209,0,0,1,0,18750000,21099,2020,,,,02/17/2021
